                    .;Tschechien;Niederlande;Belgien;Polen;Norwegen;Dänemark;Frankreich;Österreich;Schweiz;Russland;LNG;Deutschland Import
14.02.2026;0;800;706;0;1369;0;58;0;145;0;230;3308
15.02.2026;0;670;567;0;1054;0;43;0;101;0;193;2628