                    .;2025;2026;2024;Durchschnittlicher Gasverbrauch 2018-2021;Minimum 2018-2021;Maximum 2018-2021
1;2025;2131;1672;2056;1771;2330
2;2004;2363;2535;2116;1863;2465
3;2233;1832;2403;2073;1778;2259
4;1963;2125;1708;2227;1752;2643
5;1750;2078;1586;2051;1751;2369
6;2076;2040;1450;2365;1849;3084
7;2116;;1292;1970;1824;2288
8;1894;;1391;1801;1384;2471
9;1536;;1430;2007;1453;2955
10;1306;;1405;1711;1521;1843
11;1481;;1152;1769;1507;1965
12;1204;;1102;1565;1317;2038
13;1033;;1062;1390;1049;1613
14;954;;800;1362;1075;1732
15;871;;558;1092;696;1622
16;668;;1102;815;463;1165
17;680;;1125;724;551;1093
18;405;;435;853;586;1141
19;577;;444;681;338;1021
20;435;;303;718;403;857
21;468;;316;516;285;786
22;362;;334;364;222;459
23;300;;329;297;223;402
24;282;;373;289;223;389
25;209;;265;272;232;301
26;198;;201;243;201;267
27;183;;271;247;226;264
28;225;;214;279;242;324
29;205;;193;250;207;283
30;205;;197;214;181;249
31;244;;188;223;170;284
32;220;;187;216;185;249
33;181;;176;237;188;297
34;227;;202;262;202;374
35;227;;197;285;199;382
36;235;;181;309;267;352
37;298;;386;354;298;405
38;301;;365;422;313;535
39;556;;456;564;481;695
40;754;;778;805;726;840
41;733;;752;881;571;1136
42;845;;787;935;661;1249
43;955;;758;1034;812;1158
44;1080;;888;1314;1071;1425
45;1135;;1361;1359;1144;1610
46;1142;;1421;1568;1337;1842
47;1896;;1759;1825;1488;2028
48;1755;;1564;1904;1745;2094
49;1669;;1718;1981;1586;2187
50;1313;;1915;2004;1763;2196
51;1568;;1571;1897;1633;2344
52;2099;;1864;1804;1597;1960